No,ISIN,issue_date,maturity_date,coupon_%,coupon,yield_%,yield,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21
10,CA135087K601,2019-11-03,2022-01-31,1.5%,1.5,-,-,100.07,100.06,100.06,100.05,100.04,100.04,100.03,100.03,100.02,100.02
16,CA135087G328,2016-10-10,2022-02-28,0.5%,0.5,-,-,100.04,100.03,100.03,100.03,100.02,100.02,100,100,100,100.01
12,CA135087K866,2020-01-26,2022-04-30,1.5%,1.5,0.44%,0.44,100.35,100.34,100.34,100.32,100.31,100.28,100.27,100.27,100.26,100.27
6,CA135087UM44,1991-12-14,2022-05-31,9.25%,9.25,0.66%,0.66,103.39,103.36,103.33,103.25,103.21,103.16,103.12,103.1,103.03,103.02
14,CA135087ZU15,2011-08-01,2022-05-31,2.75%,2.75,0.50%,0.5,100.9,100.89,100.88,100.85,100.84,100.8,100.78,100.78,100.76,100.77
13,CA135087L286,2020-05-03,2022-07-31,0.25%,0.25,0.68%,0.68,99.8,99.79,99.78,99.77,99.76,99.72,99.7,99.7,99.72,99.74
17,CA135087L369,2020-08-16,2022-10-31,0.25%,0.25,0.89%,0.89,99.55,99.54,99.52,99.52,99.5,99.43,99.4,99.42,99.43,99.46
20,CA135087L773,2020-10-25,2023-01-31,0.25%,0.25,1.52%,1.52,99.31,99.26,99.29,99.28,99.26,99.18,99.12,99.1,99.15,99.2
19,CA135087H490,2017-10-05,2023-02-28,1.75%,1.75,1.07%,1.07,100.94,100.93,100.91,100.88,100.86,100.76,100.71,100.71,100.71,100.75
18,CA135087L856,2021-02-04,2023-04-30,0.25%,0.25,1.11%,1.11,99.08,99.07,99.05,99.04,99.01,98.9,98.85,98.87,98.87,98.92
2,CA135087A610,2012-07-29,2023-05-31,1.5%,1.5,1.15%,1.15,100.71,100.70,100.67,100.64,100.61,100.50,100.45,100.44,100.43,100.48
7,CA135087UT96,1992-08-16,2023-05-31,8.0%,8,1.16%,1.16,109.62,109.59,109.54,109.46,109.42,109.28,109.2,109.18,109.11,109.15
3,CA135087M359,2021-05-13,2023-07-31,0.25%,0.25,1.18%,1.18,98.8080,98.8000,98.7810,98.7630,98.7360,98.6100,98.5530,98.5490,98.5580,98.6110
